L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
1.07,0.01,9128623357,12.76,31259437525,9054901257,29633022965,14468581791,14515364134,9.82,12.77,0
1.17,0.0,8887596536,14.46,31529991482,8836292519,33211487341,14462369973,14464328962,11.67,14.48,0
1.13,0.0,8719307495,11.23,30106975491,8546090500,26222835508,14013579112,13979217566,8.72,11.24,1
1.14,0.0,8922898311,11.91,31684059213,8954399089,27791466395,14265774339,14354054344,9.0,11.92,1
1.09,0.0,8565429975,11.9,30174458502,8528453133,26939725972,14077036205,13843140384,9.37,11.91,1
1.04,0.0,9205863030,11.92,31380328512,8993661251,27720705819,14525792057,14583683282,8.91,11.93,1
1.05,0.0,8925518201,11.73,31230772500,8859181729,27337730622,14426037059,14153473002,9.07,11.74,1
1.12,0.0,8828948886,12.06,30964626860,8677909317,27934534936,14176684757,14184807724,9.4,12.08,1
1.24,0.0,8858662553,13.66,31479683099,8685883036,31269639976,14588304599,14335756265,10.96,13.68,1
1.17,0.0,8579063842,10.98,30223872377,8499266906,25715288565,13930989949,13776567040,8.68,10.98,2
1.08,0.0,8731261912,11.56,30378460663,8579769685,27095947273,14154505649,13883363187,9.09,11.57,2
1.08,0.0,8830278883,11.75,30565716915,8725956224,27544505462,14288325678,13995440202,9.13,11.76,2
1.03,0.0,8981508890,12.07,30959998022,8868114656,27347978666,14366863263,14269671116,9.19,12.08,2
1.11,0.0,8895530380,12.41,30963840224,8897490218,28058895424,14316991854,14343264424,9.52,12.42,2
1.02,0.0,9222156853,12.84,31517350865,9130891171,29982294931,14693509449,14600283593,9.8,12.85,2
1.29,0.0,8874025128,13.31,31562403333,8743366148,30664833345,14148252365,14474061223,10.67,13.33,2
2.01,0.02,1654824631,2.42,3627773652,1673052556,5449249490,1728118260,1748066713,0.68,2.43,0
2.01,0.02,1716327205,2.55,3998434051,1806771951,5749731366,1767666293,1876537433,0.7,2.56,0
1.74,0.02,1765110704,2.59,3956813174,1706575503,5837885158,1818863289,1885346970,0.71,2.6,0
1.93,0.02,1715490763,2.57,3755153570,1734556146,5755896500,1715561224,1851485661,0.75,2.57,0
2.14,0.02,1597361149,2.49,3885633961,1707761619,5577230211,1703171167,1785344603,0.73,2.49,0
1.98,0.02,1686253882,2.6,3937263036,1828308500,5811578130,1760203893,1888308648,0.72,2.6,0
1.53,0.02,2037786199,2.9,4153508739,1971295913,6508439656,2031444036,2105243598,0.76,2.91,0
1.66,0.02,1986595796,2.84,4166443013,1972506560,6312207410,2037540412,2037067354,0.73,2.85,0
1.94,0.02,1680831109,2.56,3913840122,1781152261,5819173808,1866547632,1821332543,0.72,2.57,0
2.35,0.02,1554246584,2.49,3912050418,1645749395,5672151934,1663277265,1766986684,0.74,2.5,0
2.04,0.01,1892023823,2.73,3999726181,1982829748,6122819124,1930633807,1940363088,0.74,2.74,0
1.98,0.02,1765842973,2.53,3899721357,1665157590,5686001446,1780008935,1756443407,0.75,2.53,0
1.9,0.02,1797098994,2.7,3973685566,1894229724,5957431756,1883246769,1960146857,0.74,2.71,0
1.81,0.02,1694210118,2.55,3786108141,1734885719,5744691057,1737646349,1771126466,0.74,2.56,0
1.8,0.01,1894583037,2.71,3984154637,1925375169,6112572992,1980456161,1982236372,0.71,2.72,0
2.17,0.02,1667456530,2.46,3536276872,1568140943,5563529566,1736717519,1758697055,0.73,2.47,0
0.79,0.01,3713115077,5.05,8280511379,3547311469,11514411670,3966818487,3985185448,2.58,5.06,1
1.17,0.01,3197369852,4.51,7583080807,3082244784,10361624389,3450203331,3466434708,2.62,4.52,1
1.06,0.01,3275165046,4.74,8070327894,3370233961,10771241246,3477815934,3701289726,2.6,4.74,1
1.24,0.01,3055848975,4.66,8021840118,3218764078,10762795861,3418175261,3484103848,2.72,4.67,1
0.89,0.01,3736004214,5.31,8502877878,3654005141,12173758319,4025921567,3988450600,2.74,5.32,1
1.2,0.01,3429530666,4.91,7999954675,3153140390,11175669631,3567527989,3612238675,2.81,4.91,1
1.07,0.01,3111928085,4.68,7451995148,3094665177,10692089941,3427576334,3487780398,2.71,4.69,1
1.14,0.01,3101328499,4.67,7833946840,3069848521,10688461833,3355898392,3500091812,2.74,4.68,1
1.17,0.01,3371743236,4.96,8036130627,3094073290,11298394490,3499800184,3764601494,2.76,4.97,1
0.94,0.01,3579983751,5.22,8601659185,3385029753,11852545415,3745439622,3883847378,2.79,5.23,1
1.11,0.01,3214655033,4.73,7929099290,3252444779,10762287946,3440274922,3420005801,2.76,4.74,1
1.13,0.01,3110887516,4.65,7723070891,2960891241,10759975980,3356403368,3473528799,2.73,4.66,1
1.06,0.01,3250934861,4.81,7966908126,3201276149,11010748890,3487401132,3504025321,2.8,4.82,1
0.91,0.01,3378298891,4.85,7918136424,3315824711,10982969026,3523629598,3646101358,2.71,4.86,1
0.98,0.01,3176014949,4.69,7597595247,3154608069,10721130332,3478599002,3475664845,2.72,4.7,1
